1,Newark Airport,EWR,newark
2,Jamaica Bay,Queens,queens_ex_airports
3,Allerton/Pelham Gardens,Bronx,bronx
4,Alphabet City,Manhattan,manhattan_below_60
5,Arden Heights,Staten Island,staten_island
6,Arrochar/Fort Wadsworth,Staten Island,staten_island
7,Astoria,Queens,queens_ex_airports
8,Astoria Park,Queens,queens_ex_airports
9,Auburndale,Queens,queens_ex_airports
10,Baisley Park,Queens,queens_ex_airports
11,Bath Beach,Brooklyn,brooklyn
12,Battery Park,Manhattan,manhattan_below_60
13,Battery Park City,Manhattan,manhattan_below_60
14,Bay Ridge,Brooklyn,brooklyn
15,Bay Terrace/Fort Totten,Queens,queens_ex_airports
16,Bayside,Queens,queens_ex_airports
17,Bedford,Brooklyn,brooklyn
18,Bedford Park,Bronx,bronx
19,Bellerose,Queens,queens_ex_airports
20,Belmont,Bronx,bronx
21,Bensonhurst East,Brooklyn,brooklyn
22,Bensonhurst West,Brooklyn,brooklyn
23,Bloomfield/Emerson Hill,Staten Island,staten_island
24,Bloomingdale,Manhattan,manhattan_other
25,Boerum Hill,Brooklyn,brooklyn
26,Borough Park,Brooklyn,brooklyn
27,Breezy Point/Fort Tilden/Riis Beach,Queens,queens_ex_airports
28,Briarwood/Jamaica Hills,Queens,queens_ex_airports
29,Brighton Beach,Brooklyn,brooklyn
30,Broad Channel,Queens,queens_ex_airports
31,Bronx Park,Bronx,bronx
32,Bronxdale,Bronx,bronx
33,Brooklyn Heights,Brooklyn,brooklyn
34,Brooklyn Navy Yard,Brooklyn,brooklyn
35,Brownsville,Brooklyn,brooklyn
36,Bushwick North,Brooklyn,brooklyn
37,Bushwick South,Brooklyn,brooklyn
38,Cambria Heights,Queens,queens_ex_airports
39,Canarsie,Brooklyn,brooklyn
40,Carroll Gardens,Brooklyn,brooklyn
41,Central Harlem,Manhattan,manhattan_other
42,Central Harlem North,Manhattan,manhattan_other
43,Central Park,Manhattan,manhattan_60_96
44,Charleston/Tottenville,Staten Island,staten_island
45,Chinatown,Manhattan,manhattan_below_60
46,City Island,Bronx,bronx
47,Claremont/Bathgate,Bronx,bronx
48,Clinton East,Manhattan,manhattan_below_60
49,Clinton Hill,Brooklyn,brooklyn
50,Clinton West,Manhattan,manhattan_below_60
51,Co-Op City,Bronx,bronx
52,Cobble Hill,Brooklyn,brooklyn
53,College Point,Queens,queens_ex_airports
54,Columbia Street,Brooklyn,brooklyn
55,Coney Island,Brooklyn,brooklyn
56,Corona,Queens,queens_ex_airports
57,Corona,Queens,queens_ex_airports
58,Country Club,Bronx,bronx
59,Crotona Park,Bronx,bronx
60,Crotona Park East,Bronx,bronx
61,Crown Heights North,Brooklyn,brooklyn
62,Crown Heights South,Brooklyn,brooklyn
63,Cypress Hills,Brooklyn,brooklyn
64,Douglaston,Queens,queens_ex_airports
65,Downtown Brooklyn/MetroTech,Brooklyn,brooklyn
66,DUMBO/Vinegar Hill,Brooklyn,brooklyn
67,Dyker Heights,Brooklyn,brooklyn
68,East Chelsea,Manhattan,manhattan_below_60
69,East Concourse/Concourse Village,Bronx,bronx
70,East Elmhurst,Queens,queens_ex_airports
71,East Flatbush/Farragut,Brooklyn,brooklyn
72,East Flatbush/Remsen Village,Brooklyn,brooklyn
73,East Flushing,Queens,queens_ex_airports
74,East Harlem North,Manhattan,manhattan_other
75,East Harlem South,Manhattan,manhattan_other
76,East New York,Brooklyn,brooklyn
77,East New York/Pennsylvania Avenue,Brooklyn,brooklyn
78,East Tremont,Bronx,bronx
79,East Village,Manhattan,manhattan_below_60
80,East Williamsburg,Brooklyn,brooklyn
81,Eastchester,Bronx,bronx
82,Elmhurst,Queens,queens_ex_airports
83,Elmhurst/Maspeth,Queens,queens_ex_airports
84,Eltingville/Annadale/Prince's Bay,Staten Island,staten_island
85,Erasmus,Brooklyn,brooklyn
86,Far Rockaway,Queens,queens_ex_airports
87,Financial District North,Manhattan,manhattan_below_60
